STN,LOCATION
064940,Belgium
064960,Belgium
065900,Luxembourg
066010,Switzerland
066020,Switzerland
066040,Switzerland
066045,Switzerland
066050,Switzerland
066060,Switzerland
066080,Switzerland
066090,Switzerland
066099,Switzerland
066100,Switzerland
066120,Switzerland
066130,Switzerland
066140,Switzerland
066160,France
066170,Switzerland
066180,Switzerland
066190,Switzerland
066200,Switzerland
066210,Switzerland
066230,Switzerland
066240,Switzerland
066250,Switzerland
066260,Switzerland
066270,Switzerland
066280,Switzerland
066303,Switzerland
066304,Switzerland
066310,Switzerland
066320,Switzerland
066330,Switzerland
066350,Switzerland
066360,Switzerland
066370,Switzerland
066380,Switzerland
066390,Switzerland
066400,Switzerland
066410,Switzerland
066430,Switzerland
066440,Switzerland
066450,Switzerland
066460,Switzerland
066470,Switzerland
066480,Switzerland
066500,Switzerland
066510,Switzerland
066520,Switzerland
066550,Switzerland
066570,Switzerland
066580,Switzerland
066590,Switzerland
066600,Switzerland
066621,Switzerland
066640,Switzerland
066660,Switzerland
066690,Switzerland
066700,Switzerland
066720,Switzerland
066730,Switzerland
066740,Switzerland
066750,Switzerland
066780,Switzerland
066790,Switzerland
066800,Switzerland
066810,Switzerland
066811,Switzerland
066820,Switzerland
066850,Switzerland
066860,Switzerland
066880,Switzerland
066890,Switzerland
066900,Switzerland
066930,Switzerland
066950,Switzerland
067000,Switzerland
067020,Switzerland
067030,Switzerland
067040,Switzerland
067050,Switzerland
067070,Switzerland
067080,Switzerland
067090,Switzerland
067110,Switzerland
067120,Switzerland
067140,Switzerland
067150,Switzerland
067160,Switzerland
067170,Italy
067200,Switzerland
067205,Switzerland
067210,Switzerland
067220,Switzerland
067230,Switzerland
067240,Switzerland
067250,Switzerland
067270,Switzerland
067280,Switzerland
067300,Switzerland
067330,Switzerland
067340,Switzerland
067350,Switzerland
067390,Switzerland
067400,Switzerland
067440,Switzerland
067450,Switzerland
067470,Switzerland
067480,Switzerland
067490,Switzerland
067500,Switzerland
067510,Switzerland
067520,Switzerland
067530,Switzerland
067540,Switzerland
067560,Switzerland
067580,Switzerland
067590,Switzerland
067600,Switzerland
067620,Switzerland
